日期,地区,省份,产品类别,产品名称,销售数量,销售金额,成本金额,利润金额,客户数量,复购率,退货数,渠道
2024-01-15,华东,上海,电子产品,智能手机,156,780000,624000,156000,142,0.35,3,线上
2024-01-18,华东,浙江,电子产品,笔记本电脑,89,623000,498400,124600,78,0.28,1,线下
2024-01-22,华北,北京,电子产品,平板电脑,67,268000,187600,80400,61,0.32,2,线上
2024-01-25,华南,广东,日用品,洗护套装,234,46800,28080,18720,198,0.45,5,线下
2024-02-10,华东,上海,电子产品,智能手机,142,710000,568000,142000,128,0.33,4,线上
2024-02-14,华东,江苏,日用品,厨房电器,178,213600,149520,64080,156,0.38,3,线下
2024-02-18,华北,北京,电子产品,平板电脑,73,292000,204400,87600,65,0.30,1,线上
2024-02-22,华南,广东,日用品,洗护套装,256,51200,30720,20480,218,0.48,6,线下
2024-03-05,华东,上海,服饰,运动鞋,312,187200,112320,74880,280,0.42,8,线上
2024-03-12,西南,四川,食品,休闲零食,456,36480,21888,14592,389,0.55,12,线下
2024-03-15,华北,天津,电子产品,耳机,198,138600,83160,55440,176,0.36,4,线上
2024-03-20,华南,深圳,电子产品,智能手表,124,372000,260400,111600,108,0.29,2,线上
2024-04-08,华东,浙江,服饰,运动鞋,298,178800,107280,71520,265,0.40,7,线下
2024-04-12,华北,北京,日用品,办公用品,167,33400,20040,13360,145,0.52,3,线上
2024-04-18,西南,重庆,食品,休闲零食,412,32960,19776,13184,352,0.50,9,线下
2024-04-22,华南,广东,电子产品,笔记本电脑,92,644000,450800,193200,80,0.27,2,线上
2024-05-06,华东,上海,日用品,厨房电器,189,226800,158760,68040,168,0.39,5,线下
2024-05-10,华北,北京,电子产品,智能手机,168,840000,672000,168000,152,0.34,3,线上
2024-05-16,华南,深圳,电子产品,智能手表,136,408000,285600,122400,119,0.31,2,线上
2024-05-20,西南,四川,服饰,商务衬衫,89,71200,42720,28480,76,0.25,1,线下
2024-06-08,华东,江苏,电子产品,平板电脑,72,288000,201600,86400,64,0.33,2,线上
2024-06-12,华北,天津,日用品,洗护套装,278,55600,33360,22240,242,0.46,7,线下
2024-06-18,华南,广东,食品,休闲零食,398,31840,19104,12736,345,0.53,8,线下
2024-06-22,西南,重庆,电子产品,耳机,176,123200,73920,49280,158,0.35,3,线上
2024-07-10,华东,上海,电子产品,智能手机,172,860000,688000,172000,155,0.36,4,线上
2024-07-15,华东,浙江,服饰,运动鞋,326,195600,117360,78240,292,0.43,9,线下
2024-07-20,华北,北京,日用品,办公用品,178,35600,21360,14240,158,0.54,4,线上
2024-07-24,华南,深圳,电子产品,笔记本电脑,88,616000,431200,184800,77,0.26,1,线上
2024-08-08,西南,四川,食品,休闲零食,468,37440,22464,14976,402,0.57,11,线下
2024-08-12,华东,上海,日用品,厨房电器,156,187200,131040,56160,138,0.37,3,线下
2024-08-18,华北,天津,电子产品,平板电脑,65,260000,182000,78000,58,0.29,1,线上
2024-08-22,华南,广东,日用品,洗护套装,298,59600,35760,23840,262,0.49,6,线下
2024-09-05,华东,江苏,电子产品,智能手表,132,396000,277200,118800,114,0.30,3,线上
2024-09-10,华北,北京,电子产品,智能手机,182,910000,728000,182000,164,0.37,5,线上
2024-09-16,西南,重庆,服饰,商务衬衫,76,60800,36480,24320,65,0.24,1,线下
2024-09-20,华南,深圳,日用品,办公用品,145,29000,17400,11600,126,0.50,2,线上
2024-10-08,华东,上海,电子产品,笔记本电脑,96,672000,470400,201600,84,0.28,2,线上
2024-10-12,华北,天津,食品,休闲零食,386,30880,18528,12352,332,0.52,8,线下
2024-10-18,华南,广东,电子产品,耳机,186,130200,78120,52080,168,0.34,5,线上
2024-10-22,西南,四川,日用品,厨房电器,142,170400,119280,51120,124,0.36,3,线下
2024-11-06,华东,浙江,服饰,运动鞋,356,213600,128160,85440,318,0.44,10,线下
2024-11-12,华北,北京,日用品,洗护套装,312,62400,37440,24960,278,0.47,8,线下
2024-11-18,华南,深圳,电子产品,智能手机,192,960000,768000,192000,174,0.35,4,线上
2024-11-22,西南,重庆,食品,休闲零食,426,34080,20448,13632,368,0.55,10,线下
2024-12-10,华东,上海,日用品,办公用品,198,39600,23760,15840,176,0.53,5,线上
2024-12-14,华北,天津,电子产品,平板电脑,78,312000,218400,93600,70,0.31,2,线上
