用户ID,订单ID,订单时间,订单状态,订单实付金额,流量来源,商品类目,商品成本,运费,退款金额,退款完成日期
U00_00001,ORD00000001,2025-01-21,已完成,100.1,小红书,美妆,62.31,5,0.0,
U00_00001,ORD00000002,2025-03-14,已支付,64.3,其他,美妆,27.53,5,0.0,
U00_00002,ORD00000003,2025-01-09,已支付,414.24,搜索引擎,食品,166.5,5,0.0,
U00_00002,ORD00000004,2025-02-25,已完成,201.47,微信,家居,86.19,0,0.0,
U00_00002,ORD00000005,2025-03-15,已完成,291.3,其他,食品,201.56,15,0.0,
U00_00003,ORD00000006,2025-01-02,已完成,347.57,抖音,服饰,219.64,0,0.0,
U00_00004,ORD00000007,2025-01-21,已支付,82.13,小红书,数码,48.5,10,0.0,
U00_00004,ORD00000008,2025-02-21,已完成,359.67,小红书,美妆,167.56,10,0.0,
U00_00004,ORD00000009,2025-04-30,已完成,474.31,搜索引擎,服饰,314.42,10,0.0,
U00_00004,ORD00000010,2025-06-05,已支付,160.98,其他,服饰,91.5,10,0.0,
U00_00005,ORD00000011,2025-01-08,已完成,498.8,抖音,美妆,220.22,15,0.0,
U00_00005,ORD00000012,2025-02-22,已支付,239.97,搜索引擎,家居,100.56,15,0.0,
U00_00005,ORD00000013,2025-06-29,已完成,291.64,微信,服饰,140.0,10,0.0,
U00_00005,ORD00000014,2025-07-24,已完成,444.13,其他,美妆,212.75,10,0.0,
U00_00006,ORD00000015,2025-01-10,已完成,428.75,微信,数码,236.8,5,0.0,
U00_00006,ORD00000016,2025-04-11,已完成,269.87,小红书,美妆,117.0,10,0.0,
U00_00006,ORD00000017,2025-06-24,已完成,268.7,小红书,服饰,113.06,10,0.0,
U00_00007,ORD00000018,2025-01-17,已支付,442.59,小红书,食品,233.22,5,0.0,
U00_00007,ORD00000019,2025-07-01,已完成,314.74,抖音,美妆,147.62,5,0.0,
U00_00008,ORD00000020,2025-01-29,已完成,64.14,微信,服饰,32.01,10,0.0,
U00_00008,ORD00000021,2025-02-19,已完成,309.3,小红书,美妆,146.27,15,221.31,2025-03-28
U00_00008,ORD00000022,2025-05-21,已支付,492.87,微信,美妆,211.7,15,0.0,
U00_00009,ORD00000023,2025-01-14,已完成,132.57,其他,美妆,71.43,0,132.52,2025-01-24
U00_00009,ORD00000024,2025-05-16,已完成,266.61,搜索引擎,美妆,175.8,0,0.0,
U00_00010,ORD00000025,2025-01-15,已支付,178.36,搜索引擎,数码,108.62,10,0.0,
U00_00010,ORD00000026,2025-02-02,已完成,310.63,抖音,家居,174.78,10,0.0,
U00_00010,ORD00000027,2025-05-17,已完成,86.05,小红书,服饰,39.22,10,0.0,
U00_00011,ORD00000028,2025-01-20,已支付,67.88,其他,食品,28.82,10,0.0,
U00_00011,ORD00000029,2025-02-23,已支付,191.38,微信,服饰,91.8,5,0.0,
U00_00011,ORD00000030,2025-04-15,已完成,329.52,其他,数码,187.46,0,0.0,
U00_00011,ORD00000031,2025-05-12,已完成,446.39,小红书,服饰,296.31,10,0.0,
